,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
46,Maluma,13551,7414,195,0,34,18.08.22
558,Sabaton,2399,,313,0,2,15.09.22
123,Robin Schulz,7470,315,224,1,15,04.09.22
380,Tate McRae,3371,2028,53,0,8,10.09.22
357,Jessie J,3563,,117,1,7,13.09.22
420,ILLENIUM,3076,4905,218,0,4,31.07.22
513,Dermot Kennedy,2581,,78,0,5,31.07.22
128,Luis Miguel,7267,2,312,0,17,16.09.22
171,Joji,6150,723,52,0,17,19.09.22
939,John Denver,1512,8,594,0,3,31.07.22
854,Otis Redding,1664,150,337,0,3,31.07.22
19,Ozuna,21119,7514,215,1,51,17.09.22
921,Salmo,1539,645,162,0,3,16.08.22
519,Sabrina Carpenter,2569,148,99,0,6,16.09.22
709,Denzel Curry,1952,528,137,0,4,06.09.22
400,Jeremy Zucker,3215,163,96,0,8,31.07.22
332,Eagles,3784,436,189,1,8,23.08.22
940,BONES,1511,192,653,0,1,31.07.22
38,Lady Gaga,14897,94,314,1,27,19.09.22
944,LIT killah,1509,190,45,0,2,28.08.22
805,Seether,1748,,156,0,3,31.07.22
166,Childish Gambino,6247,604,86,1,13,18.08.22
927,ITZY,1531,,70,0,6,20.09.22
607,Ali Gatie,2236,2,54,0,4,19.08.22
840,Juan Luis Guerra 4.40,1695,810,208,0,2,16.09.22
486,TINI,2717,503,71,0,8,19.09.22
529,B.o.B,2525,1274,431,0,7,31.07.22
850,Cyndi Lauper,1668,7,219,0,3,15.09.22
689,Ha*Ash,1989,490,131,0,4,01.09.22
551,Luan Santana,2430,247,214,0,4,19.09.22
157,Kid Cudi,6488,1505,160,0,12,08.09.22
460,JP Cooper,2895,939,144,0,4,31.07.22
605,Joyner Lucas,2250,146,87,0,6,11.09.22
547,El Fantasma,2457,65,210,0,6,21.08.22
845,Jack Ü,1685,,37,0,4,31.07.22
5,Taylor Swift,32596,424,323,1,96,20.09.22
468,T.I.,2848,47,440,0,6,19.09.22
804,Melendi,1749,190,184,0,2,31.07.22
554,KYLE,2420,166,112,0,5,31.07.22
690,Gwen Stefani,1988,1073,99,0,4,17.09.22
490,Jay Wheeler,2701,4,146,0,3,06.09.22
330,Akon,3813,876,207,0,9,31.07.22
360,Maiara & Maraisa,3531,4,156,0,12,10.08.22
67,OneRepublic,9926,219,167,1,27,28.08.22
482,Eric Clapton,2747,739,698,0,6,15.09.22
94,Diplo,8496,1757,397,0,24,13.09.22
276,Ne-Yo,4368,2245,204,0,10,31.07.22
929,Spice Girls,1530,,106,0,4,05.09.22
788,Steve Lacy,1794,632,46,0,4,20.09.22
711,Chelsea Cutler,1950,452,95,0,4,31.07.22
984,Showtek,1441,69,267,0,2,31.07.22
437,Soda Stereo,3000,4310,198,0,5,18.09.22
471,Bonez MC,2815,184,166,0,5,31.07.22
213,Rae Sremmurd,5226,544,62,0,13,08.09.22
659,Gera MX,2071,527,184,0,1,28.08.22
973,Hombres G,1461,65,275,0,3,31.07.22
710,Jay Chou,1951,28,327,0,0,31.07.22
445,Madison Beer,2958,231,54,0,11,19.09.22
520,Robbie Williams,2557,22,429,0,6,17.09.22
565,Of Monsters and Men,2380,3,63,0,5,13.09.22
376,Dire Straits,3390,85,107,0,5,19.09.22
27,Daddy Yankee,18075,5656,360,4,44,16.09.22
87,G-Eazy,8847,2309,224,1,17,25.08.22
386,Armin van Buuren,3340,673,2051,0,4,21.08.22
651,JID,2089,797,70,0,4,07.09.22
938,Topic,1514,995,70,0,1,31.07.22
831,Alfredo Olivas,1713,67,103,0,3,31.07.22
996,Young the Giant,1429,,78,0,3,26.08.22
680,Mike WiLL Made-It,2021,345,144,0,6,15.08.22
77,21 Savage,9289,6019,162,0,24,19.09.22
224,Mumford & Sons,5088,18,121,0,12,15.09.22
73,Pitbull,9426,3062,394,1,21,10.09.22
585,Sublime,2317,,219,0,5,31.07.22
12,Kanye West,25535,5767,239,1,63,20.09.22
1004,Simone & Simaria,1425,238,122,0,4,31.08.22
278,Kane Brown,4364,29,98,0,10,31.07.22
906,Diego & Victor Hugo,1557,23,139,0,6,18.09.22
652,Louis Tomlinson,2086,,43,0,4,16.09.22
552,Aitana,2428,19,74,0,7,19.09.22
704,Yung Gravy,1959,10,78,0,6,18.09.22
518,Dimitri Vegas & Like Mike,2572,102,267,0,4,31.07.22
976,Upchurch,1451,160,245,0,0,31.07.22
472,Noah Cyrus,2813,3924,74,0,6,19.09.22
966,Brantley Gilbert,1477,127,117,0,2,31.07.22
294,Vance Joy,4216,,87,1,9,01.08.22
531,Lynyrd Skynyrd,2519,,362,0,4,07.09.22
86,Metallica,8890,7,814,0,16,19.09.22
